counter_name,start_packet,stop_packet,read_packet,output_buffer
SerializedAtomicRatio,768,256,44800,5640
WriteSize,1024,256,18944,2056
WRITE_SIZE,1024,256,18944,2056
WRITE_REQ_32B,1024,256,18944,2056
VmemLatency,256,256,6656,776
ValuPipeIssueUtil,256,256,3072,328
VWriteInsts,512,256,26624,3336
VFetchInsts,512,256,26624,3336
SIMD_UTILIZATION,256,256,3072,328
VALUUtilization,256,256,4608,520
VALUBusy,256,256,3072,328
RDC_OPS_64_PER_SIMDCYCLE,512,256,11264,1352
RDC_OPS_32_PER_SIMDCYCLE,512,256,13056,1608
RDC_OPS_16_PER_SIMDCYCLE,512,256,13056,1608
TOTAL_64_OPS,512,256,10496,1288
TOTAL_32_OPS,512,256,12544,1544
TOTAL_16_OPS,512,256,12544,1544
TD_TD_BUSY_sum,512,256,22784,2824
TD_TD_BUSY,512,256,22784,2824
TD_TC_STALL_sum,512,256,22784,2824
TD_TC_STALL,512,256,22784,2824
TD_STORE_WAVEFRONT_sum,512,256,22784,2824
TD_STORE_WAVEFRONT,512,256,22784,2824
TD_SPI_STALL_sum,512,256,22784,2824
TD_SPI_STALL,512,256,22784,2824
TD_LOAD_WAVEFRONT_sum,512,256,22784,2824
TD_LOAD_WAVEFRONT,512,256,22784,2824
TD_COALESCABLE_WAVEFRONT_sum,512,256,22784,2824
TD_COALESCABLE_WAVEFRONT,512,256,22784,2824
TD_ATOMIC_WAVEFRONT_sum,512,256,22784,2824
TD_ATOMIC_WAVEFRONT,512,256,22784,2824
TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,512,256,22784,2824
TCP_WRITE_TAGCONFLICT_STALL_CYCLES,512,256,22784,2824
TCP_VOLATILE_sum,512,256,22784,2824
TCP_VOLATILE,512,256,22784,2824
TCP_UTCL1_TRANSLATION_MISS_sum,512,256,22784,2824
TCP_UTCL1_TRANSLATION_MISS,512,256,22784,2824
TCP_UTCL1_TRANSLATION_HIT_sum,512,256,22784,2824
TCP_UTCL1_TRANSLATION_HIT,512,256,22784,2824
TCP_UTCL1_REQUEST_sum,512,256,22784,2824
TCP_UTCL1_REQUEST,512,256,22784,2824
TCP_UTCL1_PERMISSION_MISS_sum,512,256,22784,2824
TCP_UTCL1_PERMISSION_MISS,512,256,22784,2824
TCP_TOTAL_WRITE_sum,512,256,22784,2824
TCP_TOTAL_WRITEBACK_INVALIDATES_sum,512,256,22784,2824
TCP_TOTAL_WRITEBACK_INVALIDATES,512,256,22784,2824
TCP_TOTAL_WRITE,512,256,22784,2824
TCP_TOTAL_READ_sum,512,256,22784,2824
TCP_TOTAL_READ,512,256,22784,2824
TCP_TOTAL_CACHE_ACCESSES_sum,512,256,22784,2824
TCP_TOTAL_CACHE_ACCESSES,512,256,22784,2824
TCP_TOTAL_ATOMIC_WITH_RET_sum,512,256,22784,2824
TCP_TOTAL_ATOMIC_WITH_RET,512,256,22784,2824
TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,512,256,22784,2824
TCP_TOTAL_ATOMIC_WITHOUT_RET,512,256,22784,2824
TCP_TOTAL_ACCESSES_sum,512,256,22784,2824
TCP_TOTAL_ACCESSES,512,256,22784,2824
TCP_TD_TCP_STALL_CYCLES_sum,512,256,22784,2824
TCP_TD_TCP_STALL_CYCLES,512,256,22784,2824
TCP_TCR_TCP_STALL_CYCLES_sum,512,256,22784,2824
TCP_TCR_TCP_STALL_CYCLES,512,256,22784,2824
TCP_TCP_TA_DATA_STALL_CYCLES_sum,512,256,22784,2824
TCP_TCP_TA_DATA_STALL_CYCLES_max,512,256,22784,2824
TCP_TCP_TA_DATA_STALL_CYCLES,512,256,22784,2824
TCP_TCC_WRITE_REQ_sum,512,256,22784,2824
TCP_TCC_WRITE_REQ,512,256,22784,2824
TCP_TCC_UC_WRITE_REQ_sum,512,256,22784,2824
TCP_TCC_UC_WRITE_REQ,512,256,22784,2824
TCP_TCC_UC_READ_REQ_sum,512,256,22784,2824
TCP_TCC_UC_READ_REQ,512,256,22784,2824
TCP_TCC_UC_ATOMIC_REQ_sum,512,256,22784,2824
TCP_TCC_UC_ATOMIC_REQ,512,256,22784,2824
